writer_id,writer_name
898,Pelle Molin
899,Lars Molin
900,Micha Lewinsky
901,Auguste Maquet
902,Caleb Slain
903,Maria Nation
904,Louisa May Alcott
905,Matthew Jason Walsh
906,David DeCoteau
907,Ned Sherrin
908,Caryl Brahms
909,David Percival
910,Evan Mahmoud
911,Vikramaditya Motwane
912,Sascha Rosemann
913,Omar Lulu
914,P. M. A. Jabbar
915,Sathyajith
916,Sarang Jayaprakash
917,B. K. Harinarayanan
918,Pearle Maaney
919,Andrew Silver
920,Donald Harington
921,Abigail Anaba
922,Sacha Baron Cohen
923,Syamak Yasami
924,Mark Nicholson
925,Milton Nobles
926,Luo Yiwei
927,Maria Andersson
928,Camilla Overbye Roos
929,David Chaskin
930,H.P. Lovecraft
931,Dorian Supin
932,Charles A. Pieper
933,Wu Yinxun
934,Zhou Minzhen
935,J  hann Sigmarsson
936,J  l  us Kemp
937,Jacob Grimm
938,Wilhelm Grimm
939,Lawrence H. Hartstein
940,Carlos Saldanha
941,Regina Negrini
942,Olivia West Lloyd
943,Albert Lamorisse
944,Gustaf Boman Br  nng  rd
945,Sergei Potepalov
946,Melvin Levy
947,Harold Shumate
948,Francis Edward Faragoh
949,Shouji Yonemura
950,Dan Rutledge
951,My Hyttel
952,Thomas Loone
953,Taber Johnson
954,Thomas Hauser
955,Donald Stewart
956,Jean Giono
957,Howard Goldberg
958,Adrian Sitaru
959,Elina Psikou
960,Thijs Meuwese
961,David Loughery
962,Mark Headley
963,Jessica Bishopp
964,Am  lcar Salatti
965,Anders Jeelsmark Mortensen
966,Mathias Broe
967,Lorna Lennon-Dalziel
968,Emily Bront  
969,Charlotte Ainsworth
970,Danny Thyk  r
971,Philip Th. Pedersen
972,Mashood Qadri
973,Anja Wutej
974,Wladyslaw Starewicz
975,Shunji Iwai
976,Norberto Ramos del Val
977,C  sar del   lamo
978,Yurek Bogayevicz
979,Agnieszka Holland
980,C. Courtney Joyner
981,Jeffrey Goldenberg
982,Jenni Toivoniemi
983,Ben S. Hyland
984,Jono Oliver
985,Federico Esquerro
986,Natalie Dale
987,Iggy Ldn
988,Carl Shanahan
