director_id,director_name
577,Timothy Yip Gam-Tim
578,Joel Foster Finn
579,Laurent Bouzereau
580,Leandro Baquela
581,Stephen Dartnell
582,Michael Ritchie
583,Hanna Heilborn
584,Samson Aslanian
585,John Hopkins
586,Eckhart Schmidt
587,Shirin Neshat
588,Mariana Dianela Torres
589,Yu Zhang
590,Robin Anderson
591,Bob Connolly
592,Lee Sun-fung
593,G  tz Spielmann
594,Satyajit Ray
595,Yale Kolin
596,Stephen Gyllenhaal
597,Jesse Thompson
598,Nils R. M  ller
599,Costa-Gavras
600,Paula Gustafsson
601,Kelvin Tong
602,Nicholas Bushman
603,Budd Boetticher
604,Kayoko Asakura
605,  ke Gustafsson
606,Fredrik Hedberg
607,Kaizo Hayashi
608,David Zani
609,Paul J. Smith
610,Michelle Chen Miao
611,Jin Chen
612,Mladomir 'Puri  a'   or  evi  
613,Sanjay Punjabi
614,Koos Roets
615,Christabel Jarrold
616,David Chiu
617,Maurice Boutel
618,Arina Salakhutdinova
619,Mannie Davis
620,Kirk Percival
621,Robert Downey Sr.
622,Shane Kelleher
623,Graham McSweeney
624,Andreas Pasvantis
625,Oliver Castro
626,Massimo Costa
627,Hannah Livingston
628,Milcho Manchevski
629,Diana Robertson
630,Damijo Efe Young
631,Patrick Armbruster
632,Justin Hostynek
633,Clara Roca
634,Carlota Coronado
635,Emmanuel Amara
636,Djamila Sahraoui
637,Frank Henenlotter
638,Jacques Jaccard
639,Henry MacRae
640,Bob Fleischner
641,Stuart Stone
642,Brandy Svendson
643,Andy Chukwu
644,Alfonso Balc  zar
645,Benjamin Nolot
646,Philippe Grammaticopoulos
647,Xavier de l'Hermuzi  re
648,Mark Thiedeman
649,Larry Weinstein
650,Verena Rudolf
651,Antoni Krauze
652,Herb Steinberg
653,Guillaume Nicloux
654,Jesse Johnson
655,Isabela Lisboa
656,Martin Fox
657,Abhijit Guha
658,Sudeshna Roy
659,William A. Graham
660,nadjib
661,Steve De Roover
662,Milo Fondanarosa
663,Jace Alexander
664,Buster Keaton
665,Robert Wiene
666,Jeff Morris
667,Aaron J. Fleming
668,Sylvie Ballyot
669,Cy Endfield
670,Joo Jong-baek
671,Peter Winther
672,Hiroshi Shimizu
673,Joko Anwar
674,Donyo Donev
675,Leah Lauren
676,Scott Mann
677,Don Sharp
678,Anson Dyer
679,Laura Vandewynckel
680,Pascal Bauer
681,Max Mel  h
682,Don Bluth
683,Gary Goldman
684,Paul Wittenberger
685,Tyler Meyer
686,Simon Portus
687,Bahman Farmanara
688,Max Bervy
689,Luigi Zampa
690,A.R. Harwood
